Help,Deprivation Decile (WIMD 2014),Sex,Age,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
4Female,4,Female,TwentyfiveToTwentyNine,15,17,18,19,21,27,46,64,100,0
4Female,4,Female,ThirtyToThirtyfour,10,15,16,16,18,24,42,58,100,0
4Female,4,Female,ThirtyfiveToThirtynine,12,14,15,19,21,27,43,51,100,0
4Female,4,Female,FourtyToFourtyfour,15,20,21,32,34,40,51,58,100,0
4Female,4,Female,FourtyfiveToFourtynine,24,29,30,44,47,54,63,71,100,0
4Female,4,Female,FiftyToFiftyfour,31,37,38,58,61,69,72,77,100,0
4Female,4,Female,FiftyfiveToFiftyNine,41,48,49,64,68,75,77,80,100,0
4Female,4,Female,SixtyToSixtyfour,42,53,54,72,76,82,84,86,100,0
4Female,4,Female,SixtyfiveToSixtynine,43,55,55,72,76,82,83,85,100,0
4Female,4,Female,SeventyToSeventyfour,41,54,55,70,75,83,84,86,100,0
4Female,4,Female,SeventyfiveToSeventynine,36,51,53,68,74,80,80,82,100,0
4Female,4,Female,EightyToEightyfour,29,44,46,61,67,75,75,78,100,0
4Female,4,Female,EightyfiveToEightynine,23,41,42,56,62,71,71,74,100,0
4Female,4,Female,Ninety,16,37,39,51,59,67,67,70,100,0
5Male,5,Male,lessThan1,0,5,0,0,0,0,0,5,28,100
5Male,5,Male,OneToFour,33,38,0,0,0,48,0,52,100,0
5Male,5,Male,FiveToNine,25,42,0,0,0,0,0,67,100,0
5Male,5,Male,TenToFourteen,36,43,0,0,0,0,57,71,100,0
5Male,5,Male,FifteenToNineteen,26,31,0,0,34,37,51,66,100,0
5Male,5,Male,TwentyToTwentyfour,21,26,0,0,28,31,44,62,100,0
5Male,5,Male,TwentyfiveToTwentyNine,35,38,0,0,40,45,57,71,100,0
5Male,5,Male,ThirtyToThirtyfour,27,30,31,32,35,39,49,61,100,0
5Male,5,Male,ThirtyfiveToThirtynine,34,35,40,41,44,55,63,72,100,0
5Male,5,Male,FourtyToFourtyfour,35,38,39,43,46,51,59,63,100,0
5Male,5,Male,FourtyfiveToFourtynine,50,54,56,62,65,68,70,74,100,0
5Male,5,Male,FiftyToFiftyfour,50,57,58,64,69,73,76,78,100,0
5Male,5,Male,FiftyfiveToFiftyNine,52,61,61,69,72,77,79,79,100,0
